
UniqueId,paperID:ID,Title,PublishInYear:int,Journal Id,Journal Name,Conference Series Id,Conference Series Name,Source URL,Venue Short Name,TimestampAdded,TimestampLastVisited,TimestampMod,:LABEL
20171030024136-001-01-3,2165467455,a relational model of data for large shared data banks,1970,null,null,null,null,null,null,2017-10-3014:41:41,2017-10-3014:41:41,2017-10-3014:41:41,paper
20171030024136-001-01-7,2165768634,adaptive query processing,2007,null,null,null,null,null,null,2017-10-3014:41:43,2017-10-3014:41:43,2017-10-3014:41:43,paper
20171030024136-001-01-39,2168753403,resource space model its design method and applications,2004,null,null,null,null,null,null,2017-10-3014:41:43,2017-10-3014:41:43,2017-10-3014:41:43,paper
20171030024136-001-01-71,2027750453,a language facility for designing database intensive applications,1980,null,null,null,null,null,null,2017-10-3014:41:43,2017-10-3014:41:43,2017-10-3014:41:43,paper
20171030024136-001-01-4,1978282744,decomposing constraint satisfaction problems using database techniques,1994,null,null,null,null,null,null,2017-10-3014:41:43,2017-10-3014:41:43,2017-10-3014:41:43,paper
20171030024136-001-01-36,2015109938,mining product maps for new product development,2008,null,null,null,null,null,null,2017-10-3014:41:43,2017-10-3014:41:43,2017-10-3014:41:43,paper
20171030024136-001-01-10,2050465692,relational database a practical foundation for productivity,1982,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-42,2141701343,quorumpeps database chemical space microbial origin and functionality of quorum sensing peptides,2013,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-74,2032328887,using uml to model relational database operations,2007,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-7,1996941236,extended resource space model,2005,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-39,2060028997,spatiotemporal reasoning about epidemiological data,2006,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-71,2044108498,functional and embedded dependency inference a data mining point of view,2001,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-4,1997764051,finding fuzzy and gradual functional dependencies with summarysql,1999,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-36,2012078943,the semijoin algebra and the guarded fragment,2005,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-68,2117701113,a relational database for bibliometric analysis,2010,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
