num_requests;num_threads;job_process_wallclock_time_msec;job_merge_wallclock_time_msec;job_full_wallclock_time_msec;sample_num;batch_num
2048;1;8254;1;8255;0;2048
2048;1;8266;2;8268;1;2048
2048;1;8091;2;8093;2;2048
2048;1;8280;2;8282;3;2048
2048;1;8630;1;8631;4;2048
2048;1;8064;2;8066;5;2048
2048;1;7708;2;7710;6;2048
2048;1;8241;2;8243;7;2048
2048;1;8611;2;8613;8;2048
2048;1;8461;1;8462;9;2048
2048;1;8138;2;8140;10;2048
2048;1;7820;2;7822;11;2048
2048;1;8034;2;8036;12;2048
2048;1;7952;2;7954;13;2048
2048;1;8037;2;8039;14;2048
2048;1;8181;2;8183;15;2048
2048;1;8275;1;8276;16;2048
2048;1;7911;2;7913;17;2048
2048;1;8765;2;8767;18;2048
2048;1;7941;1;7942;19;2048
2048;1;7590;2;7592;20;2048
2048;1;7952;2;7954;21;2048
2048;1;8242;2;8244;22;2048
2048;1;7844;2;7846;23;2048
2048;1;8340;2;8342;24;2048
2048;1;8267;2;8269;25;2048
2048;1;8315;2;8317;26;2048
2048;1;7743;1;7744;27;2048
2048;1;8287;2;8289;28;2048
2048;1;8160;2;8162;29;2048
2048;1;8414;1;8415;30;2048
2048;1;7889;1;7890;31;2048
2048;1;8522;2;8524;32;2048
2048;1;7940;2;7942;33;2048
2048;1;8285;2;8287;34;2048
2048;1;8271;2;8273;35;2048
2048;1;8140;1;8141;36;2048
2048;1;8114;2;8116;37;2048
2048;1;8314;2;8316;38;2048
2048;1;8724;2;8726;39;2048
2048;1;7996;1;7997;40;2048
2048;1;8048;1;8049;41;2048
2048;1;8359;2;8361;42;2048
2048;1;8241;2;8243;43;2048
2048;1;8392;2;8394;44;2048
2048;1;8332;1;8333;45;2048
2048;1;8324;2;8326;46;2048
2048;1;7713;2;7715;47;2048
2048;1;7937;2;7939;48;2048
2048;1;7858;2;7860;49;2048
2048;2;4657;3;4660;0;1024
2048;2;4591;2;4593;1;1024
