Date,Open,High,Low,Close,Volume,OpenInt
2010-07-21,24.333,24.333,23.946,23.946,43321,0
2010-07-22,24.644,24.644,24.362,24.487,18031,0
2010-07-23,24.759,24.759,24.314,24.507,8897,0
2010-07-26,24.624,24.624,24.449,24.595,19443,0
2010-07-27,24.477,24.517,24.431,24.517,8456,0
2010-07-28,24.477,24.517,24.352,24.431,4967,0
2010-07-29,24.527,24.527,24.256,24.256,1238,0
2010-07-30,24.228,24.333,24.228,24.333,618,0
2010-08-02,24.916,24.926,24.664,24.839,7161,0
2010-08-03,24.966,25.069,24.966,25.042,11516,0
2010-08-04,25.069,25.069,25.069,25.069,513,0
2010-08-05,25.118,25.118,25.118,25.118,513,0
2010-08-06,24.537,24.926,24.537,24.926,720,0
2010-08-09,25.207,25.429,25.207,25.265,5620,0
2010-08-10,25.285,25.285,25.285,25.285,513,0
2010-08-11,24.401,24.401,24.401,24.401,101,0
2010-08-12,24.276,24.276,24.276,24.276,1032,0
2010-08-13,24.401,24.401,24.401,24.401,101,0
2010-08-16,24.507,24.507,24.467,24.467,3094,0
2010-08-17,24.789,24.966,24.789,24.966,6704,0
2010-08-18,25.013,25.109,25.013,25.109,587,0
2010-08-19,24.966,24.966,24.966,24.966,513,0
2010-08-20,24.537,24.537,24.517,24.527,1238,0
2010-08-23,24.557,24.557,24.557,24.557,206,0
2010-08-24,24.14,24.198,24.14,24.198,3920,0
2010-08-25,24.091,24.111,24.091,24.111,720,0
2010-08-26,24.352,24.381,24.238,24.238,7736,0
2010-08-27,24.333,24.487,24.188,24.487,10547,0
2010-08-30,24.517,24.517,24.517,24.517,309,0
2010-08-31,24.527,24.567,24.507,24.567,1057,0
2010-09-01,24.888,25.158,24.888,25.158,1545,0
2010-09-02,25.236,25.236,25.236,25.236,101,0
