From node id         To node id

0   11342
0   824020
0   867923
0   891835

11342   27469
11342   38716
11342   309564
11342   322178

824020  91807
824020  322178
824020  387543
824020  417728

867923  11342
867923  136593
867923  414038
867923  500627

891835  11342
891835  112028
891835  235849
891835  302284

203402  184896
203402  184984
203402  223236
203402  240041

223236  150176
223236  187770
223236  189348
223236  202191

276233  164684
276233  203402
276233  208814
276233  223236

552600  203402
552600  223236
552600  240041
552600  276233

569212  184896
569212  184984
569212  203402
569212  208814

635575  69209
635575  203402
635575  223236
635575  276233

748615  164684
748615  184896
748615  184984
748615  203402

862566  53051
862566  164684
862566  184896
862566  184984

893884  53051
893884  184896
893884  184984
893884  203402

30957   423174
30957   430119
30957   462435
30957   472889

357310  2
357310  30957
357310  423174
357310  430119

423174  357310
423174  430119
423174  462435
423174  472889

430119  357310
430119  423174
430119  462435
430119  472889

462435  357310
462435  385050
462435  423174
462435  430119

472889  357310
472889  423174
472889  430119
472889  462435

565424  357310
565424  423174
565424  430119
565424  462435

581609  423174
581609  430119
581609  462435
581609  472889

597621  137136
597621  163524
597621  178815
597621  206688

644135  136144
644135  357310
644135  396205
644135  423174

858904  357310
858904  423174
858904  430119
858904  462435
